UTTERANCES,CORE RELATIONS
i wonder how many movies alfred hitchcock was in that he directed,movie.starring.actor movie.directed_by
what films deal with immigrants in america,movie.subjects
how will i know when the movie gone with the wind will be released,movie.initial_release_date
show me information about movie,none
give me a list of zombie movies,movie.subjects
show me tom hanks movies,movie.starring.actor
who produced black swan,movie.produced_by
what character did tom hanks play in apollo thirteen,movie.starring.actor movie.starring.character
i would like to see movies in english,movie.language
name the movies clive owen has been in,movie.starring.actor
can you tell me when 24 will be released,movie.initial_release_date
who was in hitch,movie.starring.actor
how much did my big fat greek wedding cost,movie.estimated_budget
who produced cars,movie.produced_by
find ron howard new movie,movie.directed_by movie.initial_release_date
search for information about tom cruise,none
which month was the movie released,movie.initial_release_date
who was the producer for elizabeth,movie.produced_by
trouble with the curve was based on what,none
can you show me information on will ferrell please,none
show me who directed cabin in the woods,movie.directed_by
is the other guys a comedy,movie.genre
how many movies has kristen stewart made,movie.starring.actor
what was the bourne identity's budget,movie.estimated_budget
show me the budget for the movie,movie.estimated_budget
director for titanic,movie.directed_by
find movies produced by castle rock entertainment,movie.production_companies
can you tell me about the revenue generated by the movie avatar,movie.gross_revenue
find movies produced by mel gibson,movie.produced_by
what genre is finding nemo,movie.genre
find movies produced by disney pixar,movie.production_companies
can you find me movies in russian,movie.language
when was black swan released,movie.initial_release_date
show me a list of some japanese movies,movie.country movie.language
when house at the end of the street showing,movie.initial_release_date
get me a list of current r-rated movies,movie.rating movie.initial_release_date
director of halloween,movie.directed_by
who produced what to expect when you're expecting,movie.produced_by
what ratings does the house at the end of the street hold,movie.rating
what did et gross,movie.gross_revenue
i want to view the page on in july,none
gilda charles vidor,movie.directed_by
i only want to see movies in german,movie.language
who was in life is beautiful,movie.starring.actor
how much did black swan cost,movie.estimated_budget
information about will ferrell,none
it is hard to find a movie that is rated g anymore,movie.rating
current movie options for today with patrick swayze,movie.starring.actor movie.initial_release_date
movies about zombies,movie.subjects
when avatar released,movie.initial_release_date
show me movies starring denzel washington,movie.starring.actor
what movies has tom cruise been in,movie.starring.actor
who is director steven spielberg,none
